Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (CVSS score),Custom field (CVSS vector),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Make sure everything is working properly,COUR-33,10199,Story,To Do,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 11:22 AM,07/Dec/24 11:22 AM,07/Dec/24 11:42 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000kf:,,,,,,,,,,,,,,,,,,,,To Do,07/Dec/24 11:22 AM
Add email verification functionality,COUR-32,10198,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:38 AM,07/Dec/24 9:38 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000k7:,,,,,,,,,,,,,,,,,,10176,User Management,In Progress,07/Dec/24 9:38 AM
Test and fix access issues,COUR-31,10197,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:38 AM,07/Dec/24 9:38 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000jz:,,,,,,,,,,,,,,,,,,10176,User Management,In Progress,07/Dec/24 9:38 AM
Validate course creation and enrollment,COUR-30,10196,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Raghav Thakur,712020:d529e9b4-f98d-41ca-884d-3af31fc7e839,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:37 AM,07/Dec/24 9:37 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000jr:,,,,,,,,,,,,,,,,,,10181,Testing and QA,In Progress,07/Dec/24 9:37 AM
Test user registration and login flows,COUR-29,10195,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:37 AM,07/Dec/24 9:37 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000jj:,,,,,,,,,,,,,,,,,,10181,Testing and QA,In Progress,07/Dec/24 9:37 AM
Implement backend logic to calculate progress,COUR-28,10194,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:34 AM,07/Dec/24 9:34 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000jb:,,,,,,,,,,,,,,,,,,10180,Course Process Tracking,In Progress,07/Dec/24 9:34 AM
Design UI for student progress overview,COUR-27,10193,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,Sahilpreet Singh,712020:dd7a66ee-0d92-4eb7-9907-26ca883da1da,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:33 AM,07/Dec/24 9:34 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000j3:,,,,,,,,,,,,,,,,,,10180,Course Process Tracking,In Progress,07/Dec/24 9:34 AM
Test payment flow with multiple currencies,COUR-26,10192,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:32 AM,07/Dec/24 9:32 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000iv:,,,,,,,,,,,,,,,,,,10179,Payment Gateway,In Progress,07/Dec/24 9:32 AM
Create a payment summary page,COUR-25,10191,Task,Done,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,Done,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:32 AM,07/Dec/24 9:32 AM,07/Dec/24 11:42 AM,07/Dec/24 9:32 AM,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000in:,,,,,,,,,,,,,,,10139_*:*_1_*:*_12533_*|*_10141_*:*_1_*:*_0,,,10179,Payment Gateway,Done,07/Dec/24 9:32 AM
Develop payment API integration,COUR-24,10190,Task,In Progress,COUR,Course_Management_Application2,software,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,Medium,,,,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,jagjeet singh,712020:152ed106-3290-4698-8fa0-e1d3009626bc,07/Dec/24 9:32 AM,07/Dec/24 9:32 AM,07/Dec/24 11:42 AM,,,0,,,jagjeet singh,,712020:152ed106-3290-4698-8fa0-e1d3009626bc,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000if:,,,,,,,,,,,,,,,,,,10179,Payment Gateway,In Progress,07/Dec/24 9:32 AM
